date_id,full_date,day,month,month_name,quarter,year,day_of_week,is_weekend,fiscal_year
20220101,1/1/2022,1,1,January,1,2022,Saturday,TRUE,2022
20220102,1/2/2022,2,1,January,1,2022,Sunday,TRUE,2022
20220103,1/3/2022,3,1,January,1,2022,Monday,FALSE,2022
20220104,1/4/2022,4,1,January,1,2022,Tuesday,FALSE,2022
20220105,1/5/2022,5,1,January,1,2022,Wednesday,FALSE,2022
20220106,1/6/2022,6,1,January,1,2022,Thursday,FALSE,2022
20220107,1/7/2022,7,1,January,1,2022,Friday,FALSE,2022
20220108,1/8/2022,8,1,January,1,2022,Saturday,TRUE,2022
20220109,1/9/2022,9,1,January,1,2022,Sunday,TRUE,2022
20220110,1/10/2022,10,1,January,1,2022,Monday,FALSE,2022
20220111,1/11/2022,11,1,January,1,2022,Tuesday,FALSE,2022
20220112,1/12/2022,12,1,January,1,2022,Wednesday,FALSE,2022
20220113,1/13/2022,13,1,January,1,2022,Thursday,FALSE,2022
20220114,1/14/2022,14,1,January,1,2022,Friday,FALSE,2022
20220115,1/15/2022,15,1,January,1,2022,Saturday,TRUE,2022
20220116,1/16/2022,16,1,January,1,2022,Sunday,TRUE,2022
20220117,1/17/2022,17,1,January,1,2022,Monday,FALSE,2022
20220118,1/18/2022,18,1,January,1,2022,Tuesday,FALSE,2022
20220119,1/19/2022,19,1,January,1,2022,Wednesday,FALSE,2022
20220120,1/20/2022,20,1,January,1,2022,Thursday,FALSE,2022
20220121,1/21/2022,21,1,January,1,2022,Friday,FALSE,2022
20220122,1/22/2022,22,1,January,1,2022,Saturday,TRUE,2022
20220123,1/23/2022,23,1,January,1,2022,Sunday,TRUE,2022
20220124,1/24/2022,24,1,January,1,2022,Monday,FALSE,2022
20220125,1/25/2022,25,1,January,1,2022,Tuesday,FALSE,2022
20220126,1/26/2022,26,1,January,1,2022,Wednesday,FALSE,2022
20220127,1/27/2022,27,1,January,1,2022,Thursday,FALSE,2022
20220128,1/28/2022,28,1,January,1,2022,Friday,FALSE,2022
20220129,1/29/2022,29,1,January,1,2022,Saturday,TRUE,2022
20220130,1/30/2022,30,1,January,1,2022,Sunday,TRUE,2022
20220131,1/31/2022,31,1,January,1,2022,Monday,FALSE,2022
20220201,2/1/2022,1,2,February,1,2022,Tuesday,FALSE,2022
20220202,2/2/2022,2,2,February,1,2022,Wednesday,FALSE,2022
20220203,2/3/2022,3,2,February,1,2022,Thursday,FALSE,2022
